EXPERIMENT,YEAR,LOCATION,VARIETY,FAMILY,CHECK,RM,REPNO,YIELD,CLASS_OF
14YT005047,2014,2170,V103142,FAM00460,True,3.1,2,65.4325798,.
14YT005047,2014,2170,V103150,FAM00505,True,3.4,1,71.4895879,.
14YT005047,2014,2170,V114589,FAM11189,False,3.1,1,77.695445,2014
14YT005047,2014,2170,V114589,FAM11189,False,3.1,2,73.1794178,2014
14YT005047,2014,2170,V114676,FAM11223,False,3.2,1,61.6596079,2014
14YT005047,2014,2170,V114676,FAM11223,False,3.2,2,78.1183486,2014
14YT005047,2014,2170,V114685,FAM06758,False,3,1,67.9659863,2014
14YT005047,2014,2170,V114685,FAM06758,False,3,2,75.0955695,2014
14YT005047,2014,2170,V114688,FAM06758,False,3.2,1,84.3195959,2014
14YT005047,2014,2170,V114688,FAM06758,False,3.2,2,80.1946504,2014
14YT005047,2014,2170,V152306,FAM13804,False,3.2,1,72.1367315,2014
14YT005047,2014,2170,V152306,FAM13804,False,3.2,2,66.3311756,2014
14YT005047,2014,2170,V152320,FAM11190,False,3.1,1,68.3158781,2014
14YT005047,2014,2170,V152320,FAM11190,False,3.1,2,80.3568824,2014
14YT005047,2014,2170,V155843,FAM13991,True,3,1,72.3516034,2011
14YT005047,2014,2170,V155843,FAM13991,True,3,2,65.9905032,2011
14YT005047,2014,2201,V103142,FAM00460,True,3.1,1,85.7462263,.
14YT005047,2014,2201,V103142,FAM00460,True,3.1,2,86.1783493,.
14YT005047,2014,2201,V103150,FAM00505,True,3.4,1,85.803922,.
14YT005047,2014,2201,V103150,FAM00505,True,3.4,2,79.4208142,.
14YT005047,2014,2201,V114589,FAM11189,False,3.1,1,86.5914387,2014
14YT005047,2014,2201,V114589,FAM11189,False,3.1,2,81.1109415,2014
14YT005047,2014,2201,V114676,FAM11223,False,3.2,1,75.8386247,2014
14YT005047,2014,2201,V114676,FAM11223,False,3.2,2,81.6199425,2014
14YT005047,2014,2201,V114685,FAM06758,False,3,1,77.2759615,2014
14YT005047,2014,2201,V114685,FAM06758,False,3,2,66.638539,2014
14YT005047,2014,2201,V114688,FAM06758,False,3.2,1,77.7049618,2014
14YT005047,2014,2201,V114688,FAM06758,False,3.2,2,74.5645608,2014
14YT005047,2014,2201,V152306,FAM13804,False,3.2,1,75.9699271,2014
14YT005047,2014,2201,V152306,FAM13804,False,3.2,2,81.0725768,2014
14YT005047,2014,2201,V152320,FAM11190,False,3.1,1,73.9468599,2014
14YT005047,2014,2201,V152320,FAM11190,False,3.1,2,86.031136,2014
14YT005047,2014,2201,V155843,FAM13991,True,3,1,84.1649476,2011
14YT005047,2014,2201,V155843,FAM13991,True,3,2,74.5165306,2011
14YT005047,2014,2260,V103142,FAM00460,True,3.1,1,59.4302934,.
14YT005047,2014,2260,V103142,FAM00460,True,3.1,2,58.0811359,.
14YT005047,2014,2260,V103150,FAM00505,True,3.4,1,58.1864157,.
14YT005047,2014,2260,V103150,FAM00505,True,3.4,2,58.7031491,.
14YT005047,2014,2260,V114589,FAM11189,False,3.1,1,54.9691366,2014
14YT005047,2014,2260,V114589,FAM11189,False,3.1,2,63.9942021,2014
14YT005047,2014,2260,V114676,FAM11223,False,3.2,1,59.9492574,2014
14YT005047,2014,2260,V114676,FAM11223,False,3.2,2,55.6962809,2014
14YT005047,2014,2260,V114685,FAM06758,False,3,1,62.8532249,2014
14YT005047,2014,2260,V114685,FAM06758,False,3,2,60.2603383,2014
14YT005047,2014,2260,V114688,FAM06758,False,3.2,1,60.3632389,2014
14YT005047,2014,2260,V114688,FAM06758,False,3.2,2,63.1641572,2014
14YT005047,2014,2260,V152306,FAM13804,False,3.2,1,65.2380799,2014
14YT005047,2014,2260,V152306,FAM13804,False,3.2,2,61.8151484,2014
14YT005047,2014,2260,V152320,FAM11190,False,3.1,1,65.5491608,2014
14YT005047,2014,2260,V152320,FAM11190,False,3.1,2,63.3699584,2014
14YT005047,2014,2260,V155843,FAM13991,True,3,1,57.4592713,2011
14YT005047,2014,2260,V155843,FAM13991,True,3,2,60.6741712,2011
14YT005047,2014,2290,V103142,FAM00460,True,3.1,1,28.6255455,.
14YT005047,2014,2290,V103150,FAM00505,True,3.4,1,36.3016021,.
14YT005047,2014,2290,V114589,FAM11189,False,3.1,1,33.6034357,2014
14YT005047,2014,2290,V114676,FAM11223,False,3.2,1,45.73827,2014
14YT005047,2014,2290,V114685,FAM06758,False,3,1,34.6415123,2014
14YT005047,2014,2290,V114688,FAM06758,False,3.2,1,35.3686566,2014
14YT005047,2014,2290,V152306,FAM13804,False,3.2,1,40.9685601,2014
14YT005047,2014,2290,V152320,FAM11190,False,3.1,1,42.3175689,2014
14YT005047,2014,2290,V155843,FAM13991,True,3,1,31.8404453,2011
14YT005047,2014,2310,V103142,FAM00460,True,3.1,1,49.2664813,.
14YT005047,2014,2310,V103142,FAM00460,True,3.1,2,61.7983452,.
14YT005047,2014,2310,V103150,FAM00505,True,3.4,1,60.6783348,.
14YT005047,2014,2310,V103150,FAM00505,True,3.4,2,64.1805236,.
14YT005047,2014,2310,V114589,FAM11189,False,3.1,1,66.1835162,2014
14YT005047,2014,2310,V114589,FAM11189,False,3.1,2,58.3780903,2014
14YT005047,2014,2310,V114676,FAM11223,False,3.2,1,53.7850364,2014
14YT005047,2014,2310,V114676,FAM11223,False,3.2,2,59.5205545,2014
14YT005047,2014,2310,V114685,FAM06758,False,3,1,51.0830038,2014
14YT005047,2014,2310,V114685,FAM06758,False,3,2,49.6190496,2014
14YT005047,2014,2310,V114688,FAM06758,False,3.2,1,62.3894288,2014
14YT005047,2014,2310,V114688,FAM06758,False,3.2,2,63.0594722,2014
14YT005047,2014,2310,V152306,FAM13804,False,3.2,1,55.3286939,2014
14YT005047,2014,2310,V152306,FAM13804,False,3.2,2,61.0868144,2014
14YT005047,2014,2310,V152320,FAM11190,False,3.1,1,51.2709609,2014
14YT005047,2014,2310,V152320,FAM11190,False,3.1,2,58.3963804,2014
14YT005047,2014,2310,V155843,FAM13991,True,3,1,47.4120402,2011
14YT005047,2014,2310,V155843,FAM13991,True,3,2,53.4373751,2011
14YT005047,2014,2320,V103142,FAM00460,True,3.1,1,64.2905618,.
14YT005047,2014,2320,V103142,FAM00460,True,3.1,2,74.885456,.
14YT005047,2014,2320,V103150,FAM00505,True,3.4,1,73.2803853,.
14YT005047,2014,2320,V103150,FAM00505,True,3.4,2,73.2226896,.
14YT005047,2014,2320,V114589,FAM11189,False,3.1,1,78.5935946,2014
14YT005047,2014,2320,V114589,FAM11189,False,3.1,2,74.3296144,2014
14YT005047,2014,2320,V114676,FAM11223,False,3.2,1,67.6331951,2014
14YT005047,2014,2320,V114676,FAM11223,False,3.2,2,68.4549128,2014
14YT005047,2014,2320,V114685,FAM06758,False,3,1,77.8337362,2014
14YT005047,2014,2320,V114685,FAM06758,False,3,2,67.7633079,2014
14YT005047,2014,2320,V114688,FAM06758,False,3.2,1,68.5869587,2014
14YT005047,2014,2320,V114688,FAM06758,False,3.2,2,57.0366652,2014
14YT005047,2014,2320,V152306,FAM13804,False,3.2,1,72.3174023,2014
14YT005047,2014,2320,V152306,FAM13804,False,3.2,2,72.6650636,2014
14YT005047,2014,2320,V152320,FAM11190,False,3.1,1,74.0447047,2014
14YT005047,2014,2320,V152320,FAM11190,False,3.1,2,66.9122962,2014
14YT005047,2014,2320,V155843,FAM13991,True,3,1,80.1927173,2011
14YT005047,2014,2320,V155843,FAM13991,True,3,2,77.4664466,2011
14YT005047,2014,2405,V103142,FAM00460,True,3.1,1,52.9948431,.
14YT005047,2014,2405,V103142,FAM00460,True,3.1,2,33.9177881,.
14YT005047,2014,2405,V103150,FAM00505,True,3.4,1,55.8994055,.
14YT005047,2014,2405,V103150,FAM00505,True,3.4,2,53.9637741,.
14YT005047,2014,2405,V114589,FAM11189,False,3.1,1,48.4385182,2014
14YT005047,2014,2405,V114589,FAM11189,False,3.1,2,53.9637741,2014
14YT005047,2014,2405,V114676,FAM11223,False,3.2,1,54.9327051,2014
14YT005047,2014,2405,V114676,FAM11223,False,3.2,2,59.7728988,2014
14YT005047,2014,2405,V114685,FAM06758,False,3,1,54.9327051,2014
14YT005047,2014,2405,V114685,FAM06758,False,3,2,51.3430805,2014
14YT005047,2014,2405,V114688,FAM06758,False,3.2,1,52.9948431,2014
14YT005047,2014,2405,V114688,FAM06758,False,3.2,2,47.4695872,2014
14YT005047,2014,2405,V152306,FAM13804,False,3.2,1,48.4385182,2014
14YT005047,2014,2405,V152306,FAM13804,False,3.2,2,52.0281427,2014
14YT005047,2014,2405,V152320,FAM11190,False,3.1,1,55.8994055,2014
14YT005047,2014,2405,V152320,FAM11190,False,3.1,2,51.0592117,2014
14YT005047,2014,2405,V155843,FAM13991,True,3,1,46.2190179,2011
14YT005047,2014,2405,V155843,FAM13991,True,3,2,51.3430805,2011
14YT005047,2014,2440,V103142,FAM00460,True,3.1,1,70.7828155,.
14YT005047,2014,2440,V103142,FAM00460,True,3.1,2,78.4081654,.
14YT005047,2014,2440,V103150,FAM00505,True,3.4,1,68.6342453,.
14YT005047,2014,2440,V103150,FAM00505,True,3.4,2,63.769516,.
14YT005047,2014,2440,V114589,FAM11189,False,3.1,1,75.9500012,2014
14YT005047,2014,2440,V114589,FAM11189,False,3.1,2,71.4147917,2014
14YT005047,2014,2440,V114676,FAM11223,False,3.2,1,64.8220165,2014
14YT005047,2014,2440,V114676,FAM11223,False,3.2,2,73.5780832,2014
14YT005047,2014,2440,V114685,FAM06758,False,3,1,68.4288903,2014
14YT005047,2014,2440,V114685,FAM06758,False,3,2,62.7742651,2014
14YT005047,2014,2440,V114688,FAM06758,False,3.2,1,60.4897828,2014
