ReleaseDate,State,Nothing,D0,D1,D2,D3,D4,ValidStart,ValidEnd
2014-07-15,AK,100.00,0.00,0.00,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,AL,78.54,21.46,0.00,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,AR,86.52,13.48,0.04,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,AZ,0.00,100.00,97.88,72.30,15.64,0.00,2014-07-15,2014-07-21
2014-07-15,CA,0.00,100.00,100.00,100.00,81.85,36.49,2014-07-15,2014-07-21
2014-07-15,CO,58.79,41.21,28.08,16.67,5.43,0.92,2014-07-15,2014-07-21
2014-07-15,CT,59.61,40.39,0.00,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,DC,100.00,0.00,0.00,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,DE,95.28,4.72,0.00,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,FL,96.56,3.44,0.00,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,GA,68.09,31.91,0.00,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,HI,71.93,28.07,0.53,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,IA,99.31,0.69,0.00,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,ID,38.01,61.99,41.29,28.41,1.82,0.00,2014-07-15,2014-07-21
2014-07-15,IL,100.00,0.00,0.00,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,IN,95.27,4.73,0.00,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,KS,1.82,98.18,85.42,37.08,10.16,0.00,2014-07-15,2014-07-21
2014-07-15,KY,52.08,47.92,3.44,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,LA,88.14,11.86,0.01,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,MA,68.40,31.60,0.00,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,MD,87.07,12.93,0.00,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,ME,99.64,0.36,0.00,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,MI,100.00,0.00,0.00,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,MN,100.00,0.00,0.00,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,MO,70.03,29.97,9.54,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,MS,100.00,0.00,0.00,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,MT,98.05,1.95,0.01,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,NC,71.26,28.74,0.00,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,ND,100.00,0.00,0.00,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,NE,71.94,28.06,7.28,0.01,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,NH,88.54,11.46,0.00,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,NJ,100.00,0.00,0.00,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,NM,0.00,100.00,96.48,77.63,40.46,0.42,2014-07-15,2014-07-21
2014-07-15,NV,0.00,100.00,100.00,86.92,54.99,11.08,2014-07-15,2014-07-21
2014-07-15,NY,98.47,1.53,0.00,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,OH,99.49,0.51,0.00,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,OK,9.86,90.14,79.57,62.93,29.37,6.43,2014-07-15,2014-07-21
2014-07-15,OR,6.09,93.91,72.78,52.00,14.72,0.00,2014-07-15,2014-07-21
2014-07-15,PA,100.00,0.00,0.00,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,PR,47.61,52.39,8.11,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,RI,19.37,80.63,0.00,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,SC,69.91,30.09,0.00,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,SD,95.01,4.99,0.00,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,TN,50.48,49.52,7.89,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,TX,12.72,87.28,63.36,36.80,18.36,3.77,2014-07-15,2014-07-21
2014-07-15,UT,9.08,90.92,72.34,21.77,0.95,0.00,2014-07-15,2014-07-21
2014-07-15,VA,71.72,28.28,1.64,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,VT,100.00,0.00,0.00,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,WA,50.82,49.18,33.38,18.27,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,WI,100.00,0.00,0.00,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,WV,97.53,2.47,0.00,0.00,0.00,0.00,2014-07-15,2014-07-21
2014-07-15,WY,90.64,9.36,0.00,0.00,0.00,0.00,2014-07-15,2014-07-21
